team,rank,av_age,gp,w,l,ol,pts,pts_perc,gf,ga,sow,sol,simp_rat_sys,strength_of_sched,goal_game,evgf,evga,pp,ppo,pp_perc,ppa,ppoa,pk_perc,sh,sha,pm_game,o_pm_game,shots,shot_percent,shots_against,sv_percent,pdo,year,playoff,champ,runner
Nashville Predators,1,28.4,82,53,18,11,117,0.713,267,211,6,7,0.71,0.03,5.83,193,145,58,274,21.17,54,299,81.94,10,5,11.3,9.6,2641,9.9,2659,0.923,101.6,2017,TRUE,FALSE,FALSE
Winnipeg Jets,2,26.8,82,52,20,10,114,0.695,277,218,4,2,0.74,0.02,6.04,200,159,64,274,23.36,50,274,81.75,9,7,8.5,8.6,2643,10.3,2613,0.917,101,2017,TRUE,FALSE,FALSE
Tampa Bay Lightning,3,27.5,82,54,23,5,113,0.689,296,236,6,2,0.66,-0.07,6.49,216,172,66,276,23.91,64,267,76.03,9,3,10.1,10.4,2737,10.7,2756,0.912,102,2017,TRUE,FALSE,FALSE
Boston Bruins,4,28.6,82,50,20,12,112,0.683,270,214,3,3,0.62,-0.07,5.9,197,161,61,258,23.64,40,245,83.67,9,10,9.5,9.6,2703,9.9,2399,0.912,100.2,2017,TRUE,FALSE,FALSE
Vegas Golden Knights,5,28,82,51,24,7,109,0.665,272,228,4,3,0.52,-0.01,6.1,218,182,53,248,21.37,44,237,81.43,8,5,7.1,7.8,2774,10.1,2619,0.911,100.5,2017,TRUE,FALSE,TRUE
Washington Capitals,6,28.4,82,49,26,7,105,0.64,259,239,3,1,0.21,-0.04,6.07,197,178,55,244,22.54,53,269,80.3,4,8,9.9,9.3,2400,10.7,2637,0.909,101.4,2017,TRUE,TRUE,FALSE
Toronto Maple Leafs,7,28.3,82,49,26,7,105,0.64,277,232,7,2,0.49,-0.06,6.21,213,189,56,224,25,43,231,81.39,4,5,7.4,7.1,2700,10.1,2844,0.915,101.6,2017,TRUE,FALSE,FALSE
Anaheim Ducks,8,28.7,82,44,25,13,101,0.616,235,216,4,7,0.24,0.01,5.5,183,159,38,214,17.76,46,274,83.21,10,4,10,8.6,2475,9.3,2716,0.923,101.2,2017,TRUE,FALSE,FALSE
Minnesota Wild,9,29.5,82,45,26,11,101,0.616,253,232,3,3,0.29,0.04,5.91,194,176,49,240,20.42,51,272,81.25,7,6,8.4,7.7,2506,10,2595,0.91,100.7,2017,TRUE,FALSE,FALSE
Pittsburgh Penguins,10,27.7,82,47,29,6,100,0.61,272,250,2,2,0.23,-0.04,6.37,198,195,68,260,26.15,53,265,80,6,3,9.6,9.2,2845,9.6,2575,0.902,98.5,2017,TRUE,FALSE,FALSE
San Jose Sharks,11,28.8,82,45,27,10,100,0.61,252,229,5,3,0.28,0,5.87,188,191,53,257,20.62,34,224,84.82,8,3,7.8,8.1,2744,9.1,2521,0.909,99.3,2017,TRUE,FALSE,FALSE
Philadelphia Flyers,12,27.4,82,42,26,14,98,0.598,251,243,2,7,0.07,-0.03,6.02,196,176,54,261,20.69,54,223,75.78,3,10,8.7,9.3,2683,9.5,2506,0.903,100.3,2017,TRUE,FALSE,FALSE
Los Angeles Kings,13,29.1,82,45,29,8,98,0.598,239,203,2,1,0.44,0,5.39,183,159,49,240,20.42,39,260,85,5,4,9,8.3,2544,9.3,2537,0.92,101,2017,TRUE,FALSE,FALSE
Columbus Blue Jackets,14,26.4,82,45,30,7,97,0.591,242,230,6,4,0.11,-0.04,5.76,195,170,39,227,17.18,51,214,76.17,4,7,7,7.4,2796,8.5,2612,0.912,100.2,2017,TRUE,FALSE,FALSE
New Jersey Devils,15,27.7,82,44,29,9,97,0.591,248,244,5,4,0.02,-0.03,6,178,190,54,252,21.43,47,258,81.78,12,6,8.6,8.4,2626,9.3,2654,0.908,99.7,2017,TRUE,FALSE,FALSE
Florida Panthers,16,27.8,82,44,30,8,96,0.585,248,246,3,3,-0.01,-0.04,6.02,188,193,47,249,18.88,45,227,80.18,10,5,11,11.7,2822,8.7,2838,0.914,100,2017,FALSE,FALSE,FALSE
Colorado Avalanche,17,26.4,82,43,30,9,95,0.579,257,237,2,1,0.28,0.04,6.02,188,183,65,296,21.96,45,269,83.27,7,13,9.2,10,2489,10.5,2809,0.914,101.3,2017,TRUE,FALSE,FALSE
St. Louis Blues,18,28.5,82,44,32,6,94,0.573,226,222,3,0,0.1,0.05,5.46,180,166,38,246,15.45,47,231,79.65,5,9,7.7,8.2,2677,8.3,2438,0.909,100,2017,FALSE,FALSE,FALSE
